time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.54298683788e-08,1.47110134296e-08,10.0051773311,1.69246303106e-05,6.28315350513,0.0,2.61621700611e-06,1.4511942057e-06,0.172566605465,0.000840397612167,-0.00161184901871,0.0,458.2165384870213,458.08841932596994,460.5074413588467,460.5738945026394
0.12000000000000001,1.56529285429e-06,7.36812171679e-07,10.0260970836,6.28296519341,6.28307542577,0.0,6.08763577164e-05,1.28541168907e-05,0.524664138469,-0.0158566386184,-0.000687336696786,0.0,510.5662722314947,510.6322454859797,511.4551401037728,510.2648353143323
0.18,7.90120987884e-06,-7.60185152468e-06,10.0633984815,6.28219111345,6.28311201641,0.0,0.000150441745916,-0.00039011303526,0.718613551577,-0.00756391580783,0.00308579162008,0.0,466.54628958047465,466.8407363194868,465.12398743641256,465.7730123922274
0.23999999999999996,1.790376847e-05,-5.47545071464e-05,10.1115357517,6.28225697037,6.2831422314,0.0,0.00017026840577,-0.00119874289001,0.885847106689,0.014401074699,-0.00523877465028,0.0,458.45731938423387,457.79549833247347,457.57267428371676,459.3177115642859
0.3,3.05779711046e-05,-0.0001442938889,10.1703122953,0.000175588526215,6.28257971333,0.0,0.000300683194135,-0.00167153548307,1.07321382788,0.0253877454823,-0.0192948654987,0.0,464.9419659337852,463.8396623968853,464.38470059180617,465.2455260744644
0.36000000000000004,6.44618543688e-05,-0.000235743725009,10.2364982766,0.00159887057713,6.28154592418,0.0,0.000933686412312,-0.00123511099169,1.13292778704,0.0201614132076,-0.0133904954109,0.0,424.86975118057876,425.37566935504896,425.3028642849522,424.8551398843501
0.4200000000000001,0.000153374075758,-0.000274607163758,10.3061626775,0.00244542915408,6.28190218716,0.0,0.00203676854307,4.17271872139e-05,1.18916162283,-0.00213864481934,0.0293628180401,0.0,421.88362238116827,425.55866931246777,425.4160627118073,423.50242828752846
0.48000000000000015,0.000294205967815,-0.000222875576227,10.380119309,0.0024814462604,0.00108327688345,0.0,0.00244581808091,0.00167831311727,1.27596640306,0.00558183720665,0.0543762032068,0.0,432.33755414704365,434.4404995575058,434.5237402763892,435.170401234914
0.5400000000000001,0.000401191751471,-6.22802199045e-05,10.4625669556,0.00242933837435,0.00438322705301,0.0,0.000739391893931,0.00369641087825,1.47205590617,-0.0186720874114,0.0562163993152,0.0,468.2742616712294,468.41923335978817,468.5839466882949,466.694913019785
0.6000000000000002,0.000332857416604,0.000209288707567,10.555645258,0.000938146559537,0.00813090780906,0.0,-0.00341248223725,0.00521581701398,1.6303399768,-0.041590319248,0.0726858698357,0.0,456.01444349030936,457.3306636460716,458.5059810517397,456.6815764805084
0.6600000000000003,-4.89764000325e-05,0.000531642461485,10.6556091939,6.28159416721,0.0125913937633,0.0,-0.0097457553824,0.00528368081293,1.7016834529,-0.0433079464612,0.0774607424686,0.0,430.5864297726805,430.99465798910654,430.0033496360464,429.8568014557075
0.7200000000000003,-0.000903786490013,0.00080721838987,10.7601335831,6.27917677946,0.0169999749183,0.0,-0.0191966371943,0.00365441988361,1.78233340406,-0.0348510142998,0.0640034384914,0.0,433.50289111903857,432.3749988770218,433.90226044445313,434.61070385280146
0.7800000000000004,-0.00239451050131,0.000942530092501,10.8685447034,6.27724285492,0.020946412779,0.0,-0.0308606730572,0.000666707035078,1.83128546521,-0.027451459906,0.0690971171958,0.0,423.40735075516335,423.84874693738334,423.2493230931447,423.8851894450782
0.8400000000000004,-0.00471315783743,0.000848095670434,10.9822715137,6.27549587556,0.0248294139532,0.0,-0.0468510945081,-0.00399302833426,1.95938624436,-0.0326726393288,0.0540817744772,0.0,449.76441987259494,448.54972773922833,449.11543409458017,448.69153893630113
0.9000000000000005,-0.00802185636196,0.000451462081316,11.1017360528,6.27394855434,0.0282038717843,0.0,-0.0637559271287,-0.0093938754817,2.02264470199,-0.0147110431933,0.0602414755491,0.0,429.1537874215229,429.67854448086456,427.72808393893615,429.25473463299033
0.9600000000000005,-0.0125224034999,-0.000331998248958,11.2288132347,6.27295217406,0.0314157654725,0.0,-0.086652220539,-0.016826069329,2.21289896082,-0.0206951279545,0.0346678831528,0.0,469.530006219635,467.543504946992,468.9288091768394,468.46385467911523
1.0200000000000005,-0.0183936186474,-0.00156251247658,11.3650574716,6.27184189304,0.0332599098803,0.0,-0.109253901693,-0.024310875441,2.32833815814,-0.0144491969658,0.0214077574573,0.0,447.76193475951385,446.6822301521431,445.7351609208897,446.24533717281525
1.0800000000000005,-0.0257388143765,-0.00329184216207,11.5106629449,6.27129712267,0.0347673526327,0.0,-0.135735590796,-0.0334086700038,2.5247566124,-6.4379905451e-05,0.0316769650245,0.0,471.52572268736355,472.3184158418759,470.8824554872398,471.9940009414267
1.1400000000000006,-0.0346211384168,-0.00554531959708,11.6654994722,6.27191937503,0.0364602084908,0.0,-0.160520769466,-0.041666406048,2.63620209635,0.0257069816549,0.0201905764051,0.0,446.5781417958105,445.6404537875861,446.3841986297129,448.4822057244008
1.2000000000000006,-0.0450007963815,-0.00826917021266,11.8263994898,6.27345861783,0.0376715666969,0.0,-0.18558235447,-0.0489712576488,2.7269144639,0.0255479805968,0.0201867576732,0.0,440.4304754285657,440.4301384707879,441.19492938627724,441.18192857532813
